,description,name,url
0,,4IN DATA,https://www.4indata.com/
1,"
AEKIDEN est un cabinet de conseil spécialisé en Data Governance et Data Management, architecte et réalisateur de la transformation data driven des entreprises et organisations de tous secteurs.
Nos offres reflètent les différentes facettes (culture, organisation, gouvernance, architecture) qui permettent à nos clients de maîtriser leur données et d’en tirer rapidement de la valeur stratégique et opérationnelle, avec une claire vision du pourquoi et du quoi, et une grande expérience du comment.
",Aekiden,http://www.aekiden.com
2,"
AMASAI est un cabinet de conseil en Intelligence Artificielle et Data Science. 
Les projets Data et IA sont complexes, et les entreprises manquent de ressources et de compétences en interne pour les piloter. Les prestataires de service en Data Science et Machine Learning disposent de profils techniques très pointus, mais qui maîtrisent mal le business de leurs clients. Cette situation est rendue encore plus ardue par la montée en puissance des contraintes réglementaires, et les attentes légitimes des tiers sur la maîtrise des risques éthiques. 
AMASAI se propose de faire le liant entre le business, la technique et le juridique avec des consultants formés sur ces trois métiers.
",Amasai,https://amasai.fr
3,"
Chat with your data! askR.ai is the first data assistant empowered by AI that allows you to query your business data in natural language, either orally or in writing
",askR.ai,http://www.askr.ai
4,"
Notre vocation : définir et mener des programmes de transformation dans une approche Data Centric & Delivery Oriented : cadrage des besoins métiers, intégration dans le SI, déploiement de solutions on-premise et cloud, data management, data science et accompagnement métier. 
Nos retours d’expérience apportent des réponses aux questions d’actualité :
- Quels uses cases pour une plateforme Data Hub ?
- Comment fédérer les initiatives Data des SI et des métiers ?
- Comment garder la maîtrise des données (gouvernance, conformité, RGPD…) ? 
- Comment tirer parti de l’I.A. dans une stratégie de digitalisation ? 
Nous avons bâti une triple compétence métier, projet et solutions autour de la Data. 
Mais qui sommes-nous ? 
Une équipe de 300 consultants experts de la Data
18 ans de conseil et de réalisations autour de la Data
1 LAB Innovation
4 practices : 

 Big Data, 
Data Science & I.A, 
Agile & DataOps & DevOps
Analytics Self-Service.

",BI Consulting,http://bi-consulting.com
5,"
Bold360 allie multicanalité digitale et intelligence artificielle au service de l’engagement client et permet aux entreprises de réduire les coûts d'opération tout en augmentant la satisfaction client. Aussi, les taux de conversion et de rétention croissent, générant une hausse incrémentale du revenu.
",Bold360,https://www.bold360.com/fr
6,"
CentraleSupélec Exed est l' entité dédiée à la formation continue de CentraleSupélec.
Dans un monde en changement constant, rythmé par les ruptures technologiques et caractérisé par une imprévisibilité croissante, les talents de demain seront des leaders inspirés et pragmatiques… ils conjugueront compétences techniques et soft skills pour imaginer des solutions innovantes et en tirer parti de façon concrète, et ainsi mieux contribuer aux objectifs et à la croissance de l’entreprise .
 
Notre mission est de former des talents complet de haut niveau pour qu’ils aient un impact rapide et visible pour leur entreprise, quelle que soit l’évolution de leur environnement et de leur poste.
",CentraleSupélec Exed,https://exed.centralesupelec.fr/
7,"
Cikisi WMT, la première plateforme de renseignement vous permettant de surveiller en temps réel (WATCH) des sources ouvertes du Web mais aussi de rechercher (SEARCH) et d’explorer (EXPLORE) vos données collectées.
",Cikisi,http://ww.cikisi.com
8,"
						Conscience Robotics est une startup Normande qui travaille essentiellement sur la conception et le développement d’une intelligence artificielle. Celle-ci permet à un robot de n’importe quel type; bipède, bras, drone, humanoïde, véhicule, etc…; d'analyser et de modéliser son environnement en temps réel. Ainsi le robot peut se mouvoir dans cet environnement et interagir avec ses composantes. 

L'ensemble des robots du système sont autonome et partagent leurs connaissances et expériences permettant ainsi une évolution exponentielle de l'apprentissage. 
					",Conscience Robotics,https://www.conscience-robotics.com
9,"
Fondée en 2015 à Lyon, DataGalaxy est une startup pionnière de la gouvernance collaborative des données.
Centré sur l’usage, DataGalaxy propose la première plateforme de cartographie des données conçue pour les équipes en charge de la chaine de valorisation des données.
Nous facilitons la gouvernance en automatisant la collecte des métadonnées et en combinant l’intelligence collective (crowdsourcing de la connaissance des équipes) et l’intelligence artificielle (suggestion d’enrichissement). Grâce à DataGalaxy, les entreprises mettent à disposition de leurs collaborateurs un accès direct à une connaissance commune des données de l’entreprise.
",DataGalaxy,https://www.datagalaxy.com/
10,,Dataiku,http://www.dataiku.com
11,"
Today Big Data generates a real ""Data Deluge"".
Understanding, manipulating and interacting with data are therefore new issues that we continue to meet with standard equipment (Mouse, Keyboard, Screens)
VistaKlub believes in creating a new way to perceive and interact with information in natural and intuitive ways
We disrupt data analysis with our ""Immersive Analytics"" solution
It is a collaborative real-time data analysis platform in augmented reality (Cross-Devices: Hololens, Magicleap, Dreamworld, Laptop, SmartPhone, Tablet).
Collect, visualize, analyze, manipulate and share your data by voice and gestures.
Immersive Analytic also includes Remote Assistance features
",DATAKLUB,https://www.vistaklub.com
12,"
DataScientest est un dispositif de formation hybride, actuellement leader en France de la formation B2B en Data Science. Notre approche hybride orientée métier, alliant distanciel à travers notre plateforme en ligne et présentiel avec des sessions de coaching, nous permet de travailler aujourd'hui avec plus de 30 grands groupes.
",DataScientest,http://www.datascientest.com
